Year,Budget,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
2024,4947465.01,0.0,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
2024,4960678.36,0.0,46827.2,37968.0,33750.0,53788.0,46827.2,54735.0
2024,4949269.88,0.0,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
2024,4925053.59,0.0,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024,4942656.33,0.0,9700.0,36062.33,30000.0,30725.0,82000.0,54100.0
2023,24959293.13,1781895.19,81784.08,88080.3,87651.21,66070.56,240623.33,159960.47
2023,29456364.98,61903.35,106245.72,287628.63,150227.49,180301.68,312923.79,247564.79
2023,9728874.27,0.0,18380.65,65363.05,43249.94,66658.64,152190.98,52408.41
2023,9809368.69,0.0,18783.88,66753.29,52804.37,67631.09,145408.52,46635.77
2024,15600784.32,55058.13,203826.78,85794.33,68065.68,141397.76,256809.66,131613.89
2024,21200658.33,34675.2,83731.2,125529.6,76473.6,109670.4,225120.0,163296.0
2024,61380991.62,185850.0,92925.0,619500.0,619500.0,619500.0,619500.0,631890.0
2024,61379478.66,185850.0,92925.0,619500.0,619500.0,619500.0,619500.0,631890.0
2024,9748288.86,0.0,11195.63,105420.0,59464.13,0.0,235085.55,49670.25
2020,10225396.27,0.0,38720.0,9562.0,37338.0,57326.0,95222.0,78145.0
2020,11643725.83,0.0,29885.0,46295.0,44635.0,59100.0,105260.0,88950.0
2020,17427043.69,30684.56,76997.63,80388.7,89068.6,32068.51,160699.89,142130.46
2020,14286556.91,27972.0,90518.4,80028.9,109216.8,58393.44,151792.2,303489.9
2020,22950890.2,37447.2,85377.6,132539.4,150929.1,149732.1,300837.6,952276.5
2020,23388848.19,37447.2,85377.6,132539.4,150929.1,149732.1,300837.6,952276.5
2020,12120899.92,0.0,38720.0,42885.0,37338.0,57326.0,95222.0,78145.0
2020,11961936.91,0.0,28660.0,44241.0,40829.0,61738.0,98665.0,87474.0
2020,18138493.34,0.0,53615.0,67632.0,46298.0,102320.0,186520.0,104150.0
2020,16204711.8,10492.1,92908.01,77481.65,81416.46,98945.28,193179.96,139191.14
2020,26765713.42,19517.19,176497.89,106699.3,128831.47,194726.55,380572.22,208055.48
2020,12013356.38,10306.8,87494.4,56856.24,70616.7,94909.5,191377.62,104021.82
2020,13552545.56,10306.8,87494.4,56856.24,70616.7,94909.5,191377.62,104021.82
2019,11747123.96,348477.64,33275.75,45243.16,45641.0,28159.23,179293.08,70603.18
2019,9535693.24,0.0,33523.87,44594.09,43588.02,64871.56,89217.91,76413.47
2019,15860831.98,138171.31,21289.8,71035.59,42771.4,60026.55,107339.5,74514.3
2019,19008987.48,1033573.8,75479.88,128533.86,147270.02,119241.36,253003.8,297167.96
2019,13050852.26,701373.12,75479.88,88328.31,113423.02,46735.08,126452.34,236023.31
2019,20674448.34,1187323.2,251143.2,111837.6,150324.3,107548.56,219693.6,1280034.0
2019,4790554.26,0.0,20915.96,25672.5,37485.0,25410.0,62225.63,514762.5
2019,10500982.26,794480.4,83563.2,60927.3,101833.2,44112.6,118162.8,171097.92
2019,10220155.8,622314.0,92862.0,64449.0,101999.52,45901.8,134379.0,189875.7
2019,10528728.45,754771.5,66729.6,55036.8,94676.4,46831.68,117243.0,484060.5
2019,13341965.93,734542.2,73231.2,91488.6,95780.16,49039.2,134946.0,510766.2
