,Year/Budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires,,,,,,,,,,,,,,,,
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 122: 4x8 San Pedro Laguna,"2024: 38,606,000.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 131: 4x8 Quiot Pardo Cebu,"2024: 39,759,647.00",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 146: 1x2 La Corlota, Negros Occidnetal","2024: 4,925,053.59",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
