,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",unit cost,,"63,606.290","40,343.110","48,983.810","123,612.110","299,301.170","280,899.060"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,"151,540.200","174,343.050","291,619.130","79,899.750","55,259.510","285,993.230","300,285.410"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,"151,540.200","174,343.050","291,619.130","79,899.750","55,259.510","285,993.230","300,285.410"
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",unit cost,"24,655.690","28,795.870","51,347.010","41,092.820","113,206.090","218,131.830","183,218.330"
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",unit cost,"24,937.110","430,496.950","179,647.900","105,466.950","108,152.410","921,177.720","352,665.210"
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",unit cost,"45,000.000","75,000.000","125,000.000","250,000.000","250,000.000","275,000.000","175,000.000"
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",unit cost,,"16,511.040","21,720.660","36,467.760","11,783.520","15,358.560","101,230.080"
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",unit cost,,"16,840.410","22,280.840","34,525.450",,,"102,575.090"
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",unit cost,,"16,786.000","21,850.000","35,153.000","15,306.000","15,337.000","100,135.000"
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",unit cost,,"36,474.000",,"52,587.290",,"244,303.040","91,085.130"
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",unit cost,,"472,270.770","325,276.300","347,149.130","97,572.440","455,598.220","280,633.990"
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",unit cost,,"120,483.090","47,552.400","69,071.560","29,872.060","119,681.790","123,644.430"
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",unit cost,"61,888.050","89,903.080","290,084.130","184,244.130","176,060.720","324,419.130","254,274.390"
