Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
"4 STY 12 CLS San Nicolas, Ilocos Norte",2024,39394161.38,408535.852,1070768.16,0.0,0.0,3339577.9926,7676433.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4498150.734,0.0,0.0,0.0,0.0,0.0,0.0,715178.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 8 CLS Guinobatan, Albay",2024,35733936.48,30655.834200000005,1275753.2292,0.0,0.0,3180279.262,4600341.8610000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152457.6392,926213.064,0.0,0.0,2062139.5124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 6 CLS Alangalang Leyte,2023,16377168.67,196815.7459,50207.1225,0.0,0.0,1138368.6162,3281754.9552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2183714.133,0.0,0.0,0.0,0.0,2065128.2271000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Sipalay, Negros Occidental",2023,4992477.72,76419.44189999999,2949.2206000000006,0.0,0.0,1192459.6376,0.0,0.0,0.0,232849.2582,69553.38560000001,64434.949799999995,0.0,107344.8402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189877.5288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939932.19,253961.4,50750.7,0.0,0.0,1732781.97,4326549.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483848.0199999998,0.0,0.0,0.0,243972.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939932.19,253961.4,50750.7,0.0,0.0,1732781.97,4326549.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483848.0199999998,0.0,0.0,0.0,243972.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939815.37,253961.4,50750.7,0.0,0.0,1732781.97,4326549.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483848.0199999998,0.0,0.0,0.0,243972.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939815.37,253961.4,50750.7,0.0,0.0,1732781.97,4326549.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483848.0199999998,0.0,0.0,0.0,243972.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Panganiban, Camarines Norte",2023,18426577.63,242692.78,29444.87,0.0,0.0,2691860.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298300.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Panganiban, Camarines Norte",2023,18426577.63,242654.4096,30918.606900000002,0.0,0.0,3526337.7134999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840586.4420000003,0.0,0.0,0.0,0.0,0.0,0.0,872880.2325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
