,,Structural aspect,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 4000 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",unit cost,434.160,1417.080,,,143.850,,,,,,,,,8388.260,,7657.700,,,,,789.300,
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",unit cost,345.000,1185.000,,,73.000,73.000,,,,,,,,14250.000,,,14580.000,,,,575.000,
Project 85:  2X4 SAN JOSE BATANGAS,"2017: 26,186,759.110",unit cost,412.000,1328.000,,,75.750,77.000,,,,,,,,14435.000,,,14955.000,,,,702.000,
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",unit cost,500.140,1205.050,,,94.270,,,,,,,,,9640.470,,,,,,,523.140,
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",unit cost,572.910,1953.340,,,96.410,102.110,,,,,,,,,,9512.950,,,,,1347.040,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,449.890,1204.350,,,93.920,,,,,,,,,,6068.640,,,,,,743.220,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,449.890,1204.350,,,93.920,,,,,,,,,,6068.640,,,,,,743.220,
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",unit cost,412.900,1623.250,,,59.410,,,,,,,,,,,5593.310,,,,,494.920,
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",unit cost,356.840,1193.120,,,56.430,,,5320.630,,,,,,,,5204.790,,,,,1306.310,
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",unit cost,650.000,1550.000,3150.000,,90.890,,,,,,,,,5467.390,,,,,,,820.000,
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",unit cost,625.520,,,,93.350,99.640,,,,,,,,,,1311.420,,,,,880.650,
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",unit cost,649.160,,,,96.780,98.860,,,,,,,,,,13664.170,,,,,881.280,
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",unit cost,573.510,,,,96.570,99.210,,,,,,,,,,11937.010,,,,,878.970,
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",unit cost,399.610,,,,72.150,,,,,,,,,,,8356.820,,,,,741.780,
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",unit cost,395.600,2023.120,,,72.590,73.910,,5862.900,,,,,,,10392.540,,,,,,1519.760,
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",unit cost,404.410,1293.300,,,72.390,73.050,,,,,,,,,,8865.410,,,,,608.290,
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",unit cost,190.030,1845.730,,,74.300,77.200,,,4952.280,,,,,,,5547.210,,,,,589.420,
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",unit cost,400.050,1890.000,,,88.450,90.870,,,,,,,,7337.700,,,7939.150,,,,675.870,
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",unit cost,543.770,1803.820,,,87.870,93.890,,,,,,,,,,11692.460,,,,,1573.440,
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",unit cost,,,,,87.860,,,,8485.840,9115.550,10529.120,10581.060,10557.650,,,,,,,,432.540,
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",unit cost,368.700,1933.600,,,71.340,,,,,,,,,,,7475.670,,,,,1294.930,
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",unit cost,371.040,1940.700,,,84.180,85.500,,,,,,,,,,7501.750,,,,,1397.630,
"Project 117: Basay, Negros Oriental",23310314.040,unit cost,338.690,1900.620,,,81.860,82.000,,,,,,,,,,,8120.500,,,7553.020,604.070,
"Project 118: 2x4 SIaton, Negros Oriental",12408080.250,unit cost,404.380,2016.000,,,73.320,77.910,,,,,,,,,,,7927.470,,,7477.560,670.530,
"Project 119: 2x4 Dauin, Negros Oriental","2020.11.842,000.00",unit cost,408.710,1880.730,,,70.840,70.100,,,,,,,,,,,7311.800,,,6877.320,610.000,
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",unit cost,331.690,1801.180,,,59.670,64.600,,4898.290,5251.070,5742.950,,,,,,,,,,,595.730,
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",unit cost,464.830,1835.510,,,69.810,70.950,,,,,,,,,,6030.530,,,,,2767810.500,
,,unit cost,408.090,1393.700,,,81.060,82.380,,,,,,,,14455.710,,,14742.120,,,,755.270,
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",unit cost,256.160,1834.310,,,83.250,89.170,,,,,,,,,,8404.300,,,,,1227.600,
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",unit cost,411.130,2094.350,,,71.470,,,,,,,,,7828.900,,,,,,,734.780,
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",unit cost,374.160,1230.900,,,96.060,96.060,,,,,,,,,,6115.430,,,,,858.570,
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",unit cost,355.210,1611.490,,,79.210,86.890,,,,,,,,,,10147.180,,,,,753.730,
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",unit cost,544.460,,,,85.720,,,,,,,,,11840.330,,,,,,,774.110,
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",unit cost,355.900,1976.280,,,73.760,,,,,,,,,,,7417.530,,,,,627.450,
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",unit cost,358.030,1987.820,,,77.130,,,,,,,,,,,7691.180,,,,,644.410,
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",unit cost,584.780,1976.330,,,89.120,92.190,,,,,,,,11685.090,,,,,,,734.320,
Project 131: 4x8 Quiot Pardo Cebu (lean concrete),"2024: 39,759,647.00",unit cost,450.000,2000.000,,,103.000,119.000,,9500.000,9500.000,10360.000,10360.000,10360.000,,,,,,,,,590.000,
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",unit cost,349.870,2042.310,,,76.370,77.430,,,,,,,,,,7520.190,,,,,771.710,
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",unit cost,217.360,1950.000,,,60.540,58.390,,,,,,,,7641.620,,7012.090,,,,,494.000,
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",unit cost,400.680,2676.660,,,116.820,108.420,,,,,,,,,,9238.740,,,,,1532.400,
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",unit cost,413.000,1336.000,,,91.000,99.000,,,,,,,,8963.000,,,,,,,511.870,
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",unit cost,248.490,17079.030,,,139.160,85.580,,,,,,,,12045.300,,,,,,,342.150,
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",unit cost,505.390,3209.630,,,93.200,93.200,,,,,,,,7899.940,,,,,,,254.560,
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",unit cost,587.490,2821.580,,,79.540,79.540,,,,,,,,11104.550,,,,,,,172.730,
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",unit cost,559.580,8151.740,,,137.400,134.860,,,,,,,,10236.150,,,,,,,526.990,
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",unit cost,450.000,2160.000,,,106.000,,,,,,,,,9700.000,,,,,,,730.000,
"Project 146: 1x2 Pontevedra, Negros Occidnetal","2024: 4,925,053.59",unit cost,305.140,1707.430,,,94.950,,,,,,,,,8521.550,,,,,,,1413.440,
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",unit cost,502.320,2635.620,,,79.090,,,,,,,,,5137.820,,,,,,,721.280,
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",unit cost,502.320,2639.990,,,79.090,,,,,,,,,5137.820,,,,,,,721.280,
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",unit cost,209.300,1532.720,,,84.320,,,,,,,,,11118.650,,,,,,,579.600,
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",unit cost,502.320,2619.910,,,79.090,,,,,,,,,5137.820,,,,,,,721.280,
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",unit cost,305.140,1707.430,,,94.950,,,,,,,,,8521.550,,,,,,,1413.440,
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",unit cost,450.000,1800.000,,,105.000,,,,,,,,,10200.000,,,,,,,720.000,
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",unit cost,385.050,1285.240,,,72.430,73.750,,,,,,,,,,9603.290,,,,,612.350,
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",unit cost,428.670,1847.300,,,75.490,76.800,,,5048.810,,,,,,,,5581.380,,,,577.740,
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",unit cost,369.940,1858.360,,,78.510,,,,6574.830,7303.140,7303.140,7303.140,7303.140,,,,,,,,611.060,
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",unit cost,349.080,1848.380,,,74.330,,,,6251.790,7001.790,7001.790,7001.790,7001.790,,,,,,,,591.350,
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",unit cost,585.160,2042.110,,,90.940,94.090,,,,,,,,11731.860,,,,,,,737.080,
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",unit cost,787.560,1263.250,,,128.550,127.090,,,,,,,,,,,15971.040,,,,1241.340,
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",unit cost,382.740,1334.180,,,76.300,85.180,,,,,,,,,,,7599.690,,,,743.400,
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",unit cost,382.750,1334.180,,,76.300,85.180,,,,,,,,,,,7599.690,,,,743.400,
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",unit cost,252.810,1217.380,,,157.070,161.990,,,,,,,,8656.940,,,,,,,495.880,
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",unit cost,366.000,1251.000,,,58.000,68.000,,,,,,,,,,,,6230.000,6710.000,,636.000,
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",unit cost,360.000,1380.000,,,60.000,69.000,,,,,,,,,,,,,6736.000,6085.000,619.000,
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",unit cost,372.880,2038.520,,,74.110,,,,,,,,,,,5937.520,,,,,728.410,
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",unit cost,328.420,1977.160,,,68.760,70.150,,,,,,,,,,5709.720,,,,,762.810,
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",unit cost,319.750,1914.330,,,68.260,69.740,,,,,,,,,,5685.940,,,,,745.580,
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",unit cost,319.750,1914.330,,,68.520,69.740,,,,,,,,,,5686.640,,,,,745.580,
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",unit cost,366.000,1251.000,,,58.000,68.000,,,,,,,,,,,,,6556.000,6021.000,615.000,
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",unit cost,354.000,1312.000,,,63.000,70.000,,,,,,,,,,,,,7111.000,6604.000,603.000,
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",unit cost,347.000,1252.000,,,66.000,75.000,,,,,,,,,,,,,9321.000,7150.000,621.000,
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",unit cost,337.970,1790.490,,,60.920,66.110,,,5323.480,,5960.650,,,,,,,,,,624.270,
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",unit cost,345.300,1786.280,,,59.920,65.780,,,5285.840,,5915.340,,,,,,,,,,628.930,
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",unit cost,201.200,1831.960,,,60.480,65.530,,,5313.840,,5854.070,,,,,,,,,,614.500,
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",unit cost,199.790,1800.340,,,60.530,65.530,,,5352.040,,5860.470,,,,,,,,,,615.950,
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",unit cost,327.880,1860.520,,,,68.540,,,,,,,,,,5281.920,,,,,1044.150,
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",unit cost,452.130,,,,55.630,63.080,,,6083.760,,,,,,,,5902.570,,,,521.150,
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",unit cost,301.430,916.190,,,100.550,111.830,,,,,,,,,,,9951.380,,,7359.700,327.170,
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",unit cost,303.440,1848.280,,,66.680,69.170,,,,,,,,,,5479.770,,,,,629.510,
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",unit cost,301.320,1870.810,,,66.770,69.150,,,,,,,,,,5483.970,,,,,631.630,
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",unit cost,334.240,1820.120,,,68.400,72.270,,,,,,,,,,5718.770,,,,,700.930,
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",unit cost,329.810,1979.690,,,70.880,,,,6179.580,7002.800,6981.610,,6992.170,,,,,,,,771.810,
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",unit cost,333.360,1864.010,,,68.760,,,,,,,,,,,5729.350,,,,,778.830,
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",unit cost,324.040,1833.270,,,66.530,69.270,,,,,,,,,,5663.610,,,,,689.790,
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",unit cost,304.820,1843.650,,,66.210,68.720,,,,,,,,,,5659.200,,,,,750.020,
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",unit cost,316.710,1888.940,,,65.080,66.280,,,,,,,,,,5704.670,,,,,721.610,
