Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
4 STY 16 CLS Dasol Pangasinan,2024,47846905.84,17609.289999999997,3334750.7769000004,0.0,16.0,3861235436.5455995,23433520077.612095,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310727.3168999997,0.0,0.0,0.0,0.0,2944861.9236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 12 CLS San Nicolas, Ilocos Norte",2024,39394161.38,1148562.3241,571536.0,0.0,16.0,1011012324.8163999,6060061992.959999,144.0,0.0,0.0,0.0,0.0,0.0,0.0,975057.5025000001,0.0,0.0,0.0,0.0,0.0,0.0,367842.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 8 CLS Guinobatan, Albay",2024,35733936.48,6766.707600000001,663361.3809,0.0,4.0,2037832666.3696,4004159703.2649,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184934.4016,17614.5984,0.0,0.0,8976735.054399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 6 CLS Alangalang Leyte,2023,16377168.67,380207.8921,513.0224999999999,0.0,4.0,242047007.77960002,1922847056.0784,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62385.0529,0.0,0.0,0.0,0.0,1639398.5521000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Sipalay, Negros Occidental",2023,4992477.72,30411.872099999997,45.2929,0.0,1.0,185132488.1956,0.0,4.0,0.0,1102.9041,98.4064,84.45609999999999,153.26440000000002,234.39610000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57946.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939932.19,251903.61,1840.4099999999999,0.0,4.0,457633494.21689993,2118495775.4944003,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31822.992099999996,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939932.19,251903.61,1840.4099999999999,0.0,4.0,457633494.21689993,2118495775.4944003,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31822.992099999996,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939815.37,251903.61,1840.4099999999999,0.0,4.0,457633494.21689993,2118495775.4944003,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31822.992099999996,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Pilar, Sorsogon",2023,17939815.37,251903.61,1840.4099999999999,0.0,4.0,457633494.21689993,2118495775.4944003,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31822.992099999996,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Panganiban, Camarines Norte",2023,18426577.63,230044.9369,619.5121,0.0,4.0,1104422319.1225,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,33863.360400000005,0.0,0.0,0.0,0.0,0.0,0.0,1379238.8481000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
