Year,Budget,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
2019,10862688.3,188704.1923,138301.30349999998,699897.6984999999,39804.642,170408.746,31883.576400000005,526786.7598
2020,46481067.07,1258061.49,320283.55,2199061.26,104975.68,101543.667,105910.08,2011142.34
2018,14804621.77,1044051.4397999999,140730.9552,0.0,0.0,0.0,280587.0344,887961.5444
2024,4924058.92,124749.4578,27898.479000000003,208109.2274,19540.2513,92958.7297,47037.9357,311300.403
2018,30144572.16,1078513.5977,322241.91299999994,1383793.5307,62641.43340000001,35027.1486,315281.55,1273407.6663
2023,9184048.94,375799.65,72557.166,524403.48,36843.768500000006,67285.68000000001,197208.84,469640.21
2018,16461811.0,306987.52,143668.13999999998,584337.6,35095.0,20828.8,182754.03999999998,675497.55
2018,38845165.0,931696.9271999999,2439919.3499999996,1438236.7999999998,205686.38999999998,180655.09,69913.59999999999,1366307.67
2024,23686235.62,1051318.513,342427.35240000003,2183334.577,33455.1848,49765.532400000004,10647.4956,984004.1329999999
2000,9944999.11,133319.334,426124.8,137646.255,34950.78,48689.116,47331.354,344067.264
2024,14915000.0,799800.0,191820.0,1066400.0,0.0,0.0,283580.0,471200.0
2024,39202994.03,1356201.555,0.0,2877397.7091,104953.7216,269794.3248,428332.8696,1357896.54
2024,21233360.79,311723.7885,513224.8032,636511.2798,39190.9704,0.0,12270.047999999999,850496.9761
2024,3444309.0,63611.080200000004,57344.0112,144702.9726,6280.3992,58629.3824,32949.630600000004,203736.4938
2024,9671400.0,142560.0,86100.0,0.0,0.0,162540.0,24750.0,349566.0
2024,24128750.0,246645.0,740296.0,660996.0,12180.0,373500.0,91800.0,531423.0
2023,10629229.8,186627.92540000004,73278.40000000001,234637.60040000002,194346.36000000002,359821.81799999997,85735.514,376914.325
2023,11442537.6,294270.03,101154.4652,492067.4107,12514.32,268092.3102,0.0,668340.3197
2023,28337380.67,218673.983,119030.2776,551817.2351999999,22952.462400000004,52144.8,113295.6,642025.4945
2018,8451679.65,202263.6,133783.69520000002,443905.4448,7720.158600000001,128759.16900000001,84706.98300000001,495473.36600000004
2018,34993788.33,1146657.4535,491974.92899999995,2217075.6402,83816.74799999999,42134.570999999996,263085.971,1231491.8754000003
2024,13979500.0,305855.7836,448250.0,896928.5000000001,42826.5,275167.5,60554.0,354945.0
2024,5949900.0,139327.02000000002,11571.84,228300.38999999998,15271.62,12312.75,0.0,360643.70999999996
2024,5961565.59,144182.78,0.0,228531.24000000002,15229.2,12276.75,0.0,361281.13
2024,5948888.0,129509.94,11824.98,228433.77000000002,15238.859999999999,12299.0,0.0,347235.56
2024,9746839.41,98849.37150000001,0.0,0.0,0.0,0.0,43861.818,174697.9605
2024,39378915.66,695726.5416,225727.767,1444600.5102000001,156667.065,171549.1845,40404.576,2002649.3010000002
2023,19199166.94,363126.0325,151360.517,564073.1866,152173.2212,490311.5455,197386.38640000002,411865.6230000001
2023,29466330.56,699415.479,475729.3112,1442400.8512,122448.7575,58365.7842,241292.47500000003,938919.0294000001
2023,14848582.15,324387.5,166764.15,587970.0,32760.000000000004,40005.0,211251.66,571399.1
2023,18407495.54,477143.39079999994,172979.02560000002,858052.5920000001,22165.077,223178.2296,83975.1057,676458.5567999999
2023,11370123.47,248771.09399999998,19000.553999999996,467437.4305000001,44336.0925,292316.632,29883.3125,626273.5040000001
2021,5543607.28,49687.157,114348.8552,598941.9016,185383.6672,77584.00499999999,9171.549,112966.88699999999
2021,4010862.85,596705.48,252215.6277,1462586.1689999998,64963.62260000001,40368.6355,122939.52600000001,930901.9818999999
,23310314.04,438130.154,217459.204,699351.5759999999,37121.0,65637.79599999999,262086.6996,1073541.9321
,12408080.25,0.0,171528.84,488700.9,30089.22,31815.132999999998,142127.8904,516850.7994
2020,11842000.0,0.0,111999.7107,560007.9,29999.94,35000.189,124999.9798,489998.8314
2020,52921088.86,1457798.7992,608302.2705,2564616.4760000003,48258.728,172743.5402,75914.6014,1970638.043
2020,46778280.56,1456607.52,605403.65,2471020.76,133046.72,175184.118,127623.36000000002,2531009.14
